year_film;year_ceremony;ceremony;Category;gender;name;Race;film;winner
1927;1928;1;Best Actor;Male;Emil Jannings;White;The Last Command;VERDADEIRO
1927;1928;1;Best Actress;Female;Janet Gaynor;White;7th Heaven;VERDADEIRO
1928;1929;2;Best Actor;Male;Warner Baxter;White;In Old Arizona;VERDADEIRO
1928;1929;2;Best Actress;Female;Mary Pickford;White;Coquette;VERDADEIRO
1929;1930;3;Best Actor;Male;George Arliss;White;Disraeli;VERDADEIRO
1929;1930;3;Best Actress;Female;Norma Shearer;White;The Divorcee;VERDADEIRO
1930;1931;4;Best Actor;Male;Lionel Barrymore;White;A Free Soul;VERDADEIRO
1930;1931;4;Best Actress;Female;Marie Dressler;White;Min and Bill;VERDADEIRO
1931;1932;5;Best Actor;Male;Wallace Beery;White;The Champ;VERDADEIRO
1931;1932;5;Best Actor;Male;Fredric March;White;Dr. Jekyll and Mr. Hyde;VERDADEIRO
1931;1932;5;Best Actress;Female;Helen Hayes;White;The Sin of Madelon Claudet;VERDADEIRO
1932;1933;6;Best Actor;Male;Charles Laughton;White;The Private Life of Henry VIII;VERDADEIRO
1932;1933;6;Best Actress;Female;Katharine Hepburn;White;Morning Glory;VERDADEIRO
1934;1935;7;Best Actor;Male;Clark Gable;White;It Happened One Night;VERDADEIRO
1934;1935;7;Best Actress;Female;Claudette Colbert;White;It Happened One Night;VERDADEIRO
1935;1936;8;Best Actor;Male;Victor McLaglen;White;The Informer;VERDADEIRO
1935;1936;8;Best Actress;Female;Bette Davis;White;Dangerous;VERDADEIRO
1936;1937;9;Best Actor;Male;Paul Muni;White;The Story of Louis Pasteur;VERDADEIRO
1936;1937;9;Best Actor in supporting role;Male;Walter Brennan;White;Come and Get It;VERDADEIRO
1936;1937;9;Best Actress;Female;Luise Rainer;White;The Great Ziegfeld;VERDADEIRO
1936;1937;9;ACTRESS IN A SUPPORTING ROLE;Female;Gale Sondergaard;White;Anthony Adverse;VERDADEIRO
1937;1938;10;Best Actor;Male;Spencer Tracy;White;Captains Courageous;VERDADEIRO
1937;1938;10;Best Actor in supporting role;Male;Joseph Schildkraut;White;The Life of Emile Zola;VERDADEIRO
1937;1938;10;Best Actress;Female;Luise Rainer;White;The Good Earth;VERDADEIRO
1937;1938;10;ACTRESS IN A SUPPORTING ROLE;Female;Alice Brady;White;In Old Chicago;VERDADEIRO
1938;1939;11;Best Actor;Male;Spencer Tracy;White;Boys Town;VERDADEIRO
1938;1939;11;Best Actor in supporting role;Male;Walter Brennan;White;Kentucky;VERDADEIRO
1938;1939;11;Best Actress;Female;Bette Davis;White;Jezebel;VERDADEIRO
1938;1939;11;ACTRESS IN A SUPPORTING ROLE;Female;Fay Bainter;White;Jezebel;VERDADEIRO
1939;1940;12;Best Actor;Male;Robert Donat;White;Goodbye, Mr. Chips;VERDADEIRO
1939;1940;12;Best Actor in supporting role;Male;Thomas Mitchell;White;Stagecoach;VERDADEIRO
1939;1940;12;Best Actress;Female;Vivien Leigh;White;Gone with the Wind;VERDADEIRO
1939;1940;12;ACTRESS IN A SUPPORTING ROLE;Female;Hattie McDaniel;Black;Gone with the Wind;VERDADEIRO
1940;1941;13;Best Actor;Male;James Stewart;White;The Philadelphia Story;VERDADEIRO
1940;1941;13;Best Actor in supporting role;Male;Walter Brennan;White;The Westerner;VERDADEIRO
1940;1941;13;Best Actress;Female;Ginger Rogers;White;Kitty Foyle;VERDADEIRO
1940;1941;13;ACTRESS IN A SUPPORTING ROLE;Female;Jane Darwell;White;The Grapes of Wrath;VERDADEIRO
1941;1942;14;Best Actor;Male;Gary Cooper;White;Sergeant York;VERDADEIRO
1941;1942;14;Best Actor in supporting role;Male;Donald Crisp;White;How Green Was My Valley;VERDADEIRO
1941;1942;14;Best Actress;Female;Joan Fontaine;White;Suspicion;VERDADEIRO
1941;1942;14;ACTRESS IN A SUPPORTING ROLE;Female;Mary Astor;White;The Great Lie;VERDADEIRO
1942;1943;15;Best Actor;Male;James Cagney;White;Yankee Doodle Dandy;VERDADEIRO
1942;1943;15;Best Actor in supporting role;Male;Van Heflin;White;Johnny Eager;VERDADEIRO
1942;1943;15;Best Actress;Female;Greer Garson;White;Mrs. Miniver;VERDADEIRO
1942;1943;15;ACTRESS IN A SUPPORTING ROLE;Female;Teresa Wright;White;Mrs. Miniver;VERDADEIRO
1943;1944;16;Best Actor;Male;Paul Lukas;White;Watch on the Rhine;VERDADEIRO
1943;1944;16;Best Actor in supporting role;Male;Charles Coburn;White;The More the Merrier;VERDADEIRO
1943;1944;16;Best Actress;Female;Jennifer Jones;White;The Song of Bernadette;VERDADEIRO
1943;1944;16;ACTRESS IN A SUPPORTING ROLE;Female;Katina Paxinou;White;For Whom the Bell Tolls;VERDADEIRO
1944;1945;17;Best Actor;Male;Bing Crosby;White;Going My Way;VERDADEIRO
1944;1945;17;Best Actor in supporting role;Male;Barry Fitzgerald;White;Going My Way;VERDADEIRO
1944;1945;17;Best Actress;Female;Ingrid Bergman;White;Gaslight;VERDADEIRO
1944;1945;17;ACTRESS IN A SUPPORTING ROLE;Female;Ethel Barrymore;White;None but the Lonely Heart;VERDADEIRO
1945;1946;18;Best Actor;Male;Ray Milland;White;The Lost Weekend;VERDADEIRO
1945;1946;18;Best Actor in supporting role;Male;James Dunn;White;A Tree Grows in Brooklyn;VERDADEIRO
1945;1946;18;Best Actress;Female;Joan Crawford;White;Mildred Pierce;VERDADEIRO
1945;1946;18;ACTRESS IN A SUPPORTING ROLE;Female;Anne Revere;White;National Velvet;VERDADEIRO
1946;1947;19;Best Actor;Male;Fredric March;White;The Best Years of Our Lives;VERDADEIRO
1946;1947;19;Best Actor in supporting role;Male;Harold Russell;White;The Best Years of Our Lives;VERDADEIRO
1946;1947;19;Best Actress;Female;Olivia de Havilland;White;To Each His Own;VERDADEIRO
1946;1947;19;ACTRESS IN A SUPPORTING ROLE;Female;Anne Baxter;White;The Razor's Edge;VERDADEIRO
1947;1948;20;Best Actor;Male;Ronald Colman;White;A Double Life;VERDADEIRO
1947;1948;20;Best Actor in supporting role;Male;Edmund Gwenn;White;Miracle on 34th Street;VERDADEIRO
1947;1948;20;Best Actress;Female;Loretta Young;White;The Farmer's Daughter;VERDADEIRO
1947;1948;20;ACTRESS IN A SUPPORTING ROLE;Female;Celeste Holm;White;Gentleman's Agreement;VERDADEIRO
1948;1949;21;Best Actor;Male;Laurence Olivier;White;Hamlet;VERDADEIRO
1948;1949;21;Best Actor in supporting role;Male;Walter Huston;White;The Treasure of the Sierra Madre;VERDADEIRO
1948;1949;21;Best Actress;Female;Jane Wyman;White;Johnny Belinda;VERDADEIRO
1948;1949;21;ACTRESS IN A SUPPORTING ROLE;Female;Claire Trevor;White;Key Largo;VERDADEIRO
1949;1950;22;Best Actor;Male;Broderick Crawford;White;All the King's Men;VERDADEIRO
1949;1950;22;Best Actor in supporting role;Male;Dean Jagger;White;Twelve O'Clock High;VERDADEIRO
1949;1950;22;Best Actress;Female;Olivia de Havilland;White;The Heiress;VERDADEIRO
1949;1950;22;ACTRESS IN A SUPPORTING ROLE;Female;Mercedes McCambridge;White;All the King's Men;VERDADEIRO
1950;1951;23;Best Actor;Male;Jos?¸ Ferrer;White;Cyrano de Bergerac;VERDADEIRO
1950;1951;23;Best Actor in supporting role;Male;George Sanders;White;All about Eve;VERDADEIRO
1950;1951;23;Best Actress;Female;Judy Holliday;White;Born Yesterday;VERDADEIRO
1950;1951;23;ACTRESS IN A SUPPORTING ROLE;Female;Josephine Hull;White;Harvey;VERDADEIRO
1951;1952;24;Best Actor;Male;Humphrey Bogart;White;The African Queen;VERDADEIRO
1951;1952;24;Best Actor in supporting role;Male;Karl Malden;White;A Streetcar Named Desire;VERDADEIRO
1951;1952;24;Best Actress;Female;Vivien Leigh;White;A Streetcar Named Desire;VERDADEIRO
1951;1952;24;ACTRESS IN A SUPPORTING ROLE;Female;Kim Hunter;White;A Streetcar Named Desire;VERDADEIRO
1952;1953;25;Best Actor;Male;Gary Cooper;White;High Noon;VERDADEIRO
1952;1953;25;Best Actor in supporting role;Male;Anthony Quinn;White;Viva Zapata!;VERDADEIRO
1952;1953;25;Best Actress;Female;Shirley Booth;White;Come Back, Little Sheba;VERDADEIRO
1952;1953;25;ACTRESS IN A SUPPORTING ROLE;Female;Gloria Grahame;White;The Bad and the Beautiful;VERDADEIRO
1953;1954;26;Best Actor;Male;William Holden;White;Stalag 17;VERDADEIRO
1953;1954;26;Best Actor in supporting role;Male;Frank Sinatra;White;From Here to Eternity;VERDADEIRO
1953;1954;26;Best Actress;Female;Audrey Hepburn;White;Roman Holiday;VERDADEIRO
1953;1954;26;ACTRESS IN A SUPPORTING ROLE;Female;Donna Reed;White;From Here to Eternity;VERDADEIRO
1954;1955;27;Best Actor;Male;Marlon Brando;White;On the Waterfront;VERDADEIRO
1954;1955;27;Best Actor in supporting role;Male;Edmond O'Brien;White;The Barefoot Contessa;VERDADEIRO
1954;1955;27;Best Actress;Female;Grace Kelly;White;The Country Girl;VERDADEIRO
1954;1955;27;ACTRESS IN A SUPPORTING ROLE;Female;Eva Marie Saint;White;On the Waterfront;VERDADEIRO
1955;1956;28;Best Actor;Male;Ernest Borgnine;White;Marty;VERDADEIRO
1955;1956;28;Best Actor in supporting role;Male;Jack Lemmon;White;Mister Roberts;VERDADEIRO
1955;1956;28;Best Actress;Female;Anna Magnani;White;The Rose Tattoo;VERDADEIRO
1955;1956;28;ACTRESS IN A SUPPORTING ROLE;Female;Jo Van Fleet;White;East of Eden;VERDADEIRO
1956;1957;29;Best Actor;Male;Yul Brynner;Asian;The King and I;VERDADEIRO
1956;1957;29;Best Actor in supporting role;Male;Anthony Quinn;White;Lust for Life;VERDADEIRO
1956;1957;29;Best Actress;Female;Ingrid Bergman;White;Anastasia;VERDADEIRO
1956;1957;29;ACTRESS IN A SUPPORTING ROLE;Female;Dorothy Malone;White;Written on the Wind;VERDADEIRO
1957;1958;30;Best Actor;Male;Alec Guinness;White;The Bridge on the River Kwai;VERDADEIRO
1957;1958;30;Best Actor in supporting role;Male;Red Buttons;White;Sayonara;VERDADEIRO
1957;1958;30;Best Actress;Female;Joanne Woodward;White;The Three Faces of Eve;VERDADEIRO
1957;1958;30;ACTRESS IN A SUPPORTING ROLE;Female;Miyoshi Umeki;Asian;Sayonara;VERDADEIRO
1958;1959;31;Best Actor;Male;David Niven;White;Separate Tables;VERDADEIRO
1958;1959;31;Best Actor in supporting role;Male;Burl Ives;White;The Big Country;VERDADEIRO
1958;1959;31;Best Actress;Female;Susan Hayward;White;I Want to Live!;VERDADEIRO
1958;1959;31;ACTRESS IN A SUPPORTING ROLE;Female;Wendy Hiller;White;Separate Tables;VERDADEIRO
1959;1960;32;Best Actor;Male;Charlton Heston;White;Ben-Hur;VERDADEIRO
1959;1960;32;Best Actor in supporting role;Male;Hugh Griffith;White;Ben-Hur;VERDADEIRO
1959;1960;32;Best Actress;Female;Simone Signoret;White;Room at the Top;VERDADEIRO
1959;1960;32;ACTRESS IN A SUPPORTING ROLE;Female;Shelley Winters;White;The Diary of Anne Frank;VERDADEIRO
1960;1961;33;Best Actor;Male;Burt Lancaster;White;Elmer Gantry;VERDADEIRO
1960;1961;33;Best Actor in supporting role;Male;Peter Ustinov;White;Spartacus;VERDADEIRO
1960;1961;33;Best Actress;Female;Elizabeth Taylor;White;Butterfield 8;VERDADEIRO
1960;1961;33;ACTRESS IN A SUPPORTING ROLE;Female;Shirley Jones;White;Elmer Gantry;VERDADEIRO
1961;1962;34;Best Actor;Male;Maximilian Schell;White;Judgment at Nuremberg;VERDADEIRO
1961;1962;34;Best Actor in supporting role;Male;George Chakiris;White;West Side Story;VERDADEIRO
1961;1962;34;Best Actress;Female;Sophia Loren;White;Two Women;VERDADEIRO
1961;1962;34;ACTRESS IN A SUPPORTING ROLE;Female;Rita Moreno;White;West Side Story;VERDADEIRO
1962;1963;35;Best Actor;Male;Gregory Peck;White;To Kill a Mockingbird;VERDADEIRO
1962;1963;35;Best Actor in supporting role;Male;Ed Begley;White;Sweet Bird of Youth;VERDADEIRO
1962;1963;35;Best Actress;Female;Anne Bancroft;White;The Miracle Worker;VERDADEIRO
1962;1963;35;ACTRESS IN A SUPPORTING ROLE;Female;Patty Duke;White;The Miracle Worker;VERDADEIRO
1963;1964;36;Best Actor;Male;Sidney Poitier;Black;Lilies of the Field;VERDADEIRO
1963;1964;36;Best Actor in supporting role;Male;Melvyn Douglas;White;Hud;VERDADEIRO
1963;1964;36;Best Actress;Female;Patricia Neal;White;Hud;VERDADEIRO
1963;1964;36;ACTRESS IN A SUPPORTING ROLE;Female;Margaret Rutherford;White;The V.I.P.s;VERDADEIRO
1964;1965;37;Best Actor;Male;Rex Harrison;White;My Fair Lady;VERDADEIRO
1964;1965;37;Best Actor in supporting role;Male;Peter Ustinov;White;Topkapi;VERDADEIRO
1964;1965;37;Best Actress;Female;Julie Andrews;White;Mary Poppins;VERDADEIRO
1964;1965;37;ACTRESS IN A SUPPORTING ROLE;Female;Lila Kedrova;White;Zorba the Greek;VERDADEIRO
1965;1966;38;Best Actor;Male;Lee Marvin;White;Cat Ballou;VERDADEIRO
1965;1966;38;Best Actor in supporting role;Male;Martin Balsam;White;A Thousand Clowns;VERDADEIRO
1965;1966;38;Best Actress;Female;Julie Christie;White;Darling;VERDADEIRO
1965;1966;38;ACTRESS IN A SUPPORTING ROLE;Female;Shelley Winters;White;A Patch of Blue;VERDADEIRO
1966;1967;39;Best Actor;Male;Paul Scofield;White;A Man for All Seasons;VERDADEIRO
1966;1967;39;Best Actor in supporting role;Male;Walter Matthau;White;The Fortune Cookie;VERDADEIRO
1966;1967;39;Best Actress;Female;Elizabeth Taylor;White;Who's Afraid of Virginia Woolf?;VERDADEIRO
1966;1967;39;ACTRESS IN A SUPPORTING ROLE;Female;Sandy Dennis;White;Who's Afraid of Virginia Woolf?;VERDADEIRO
1967;1968;40;Best Actor;Male;Rod Steiger;White;In the Heat of the Night;VERDADEIRO
1967;1968;40;Best Actor in supporting role;Male;George Kennedy;White;Cool Hand Luke;VERDADEIRO
1967;1968;40;Best Actress;Female;Katharine Hepburn;White;Guess Who's Coming to Dinner;VERDADEIRO
1967;1968;40;ACTRESS IN A SUPPORTING ROLE;Female;Estelle Parsons;White;Bonnie and Clyde;VERDADEIRO
1968;1969;41;Best Actor;Male;Cliff Robertson;White;Charly;VERDADEIRO
1968;1969;41;Best Actor in supporting role;Male;Jack Albertson;White;The Subject Was Roses;VERDADEIRO
1968;1969;41;Best Actress;Female;Katharine Hepburn;White;The Lion in Winter;VERDADEIRO
1968;1969;41;Best Actress;Female;Barbra Streisand;White;Funny Girl;VERDADEIRO
1968;1969;41;ACTRESS IN A SUPPORTING ROLE;Female;Ruth Gordon;White;Rosemary's Baby;VERDADEIRO
1969;1970;42;Best Actor;Male;John Wayne;White;True Grit;VERDADEIRO
1969;1970;42;Best Actor in supporting role;Male;Gig Young;White;They Shoot Horses, Don't They?;VERDADEIRO
1969;1970;42;Best Actress;Female;Maggie Smith;White;The Prime of Miss Jean Brodie;VERDADEIRO
1969;1970;42;ACTRESS IN A SUPPORTING ROLE;Female;Goldie Hawn;White;Cactus Flower;VERDADEIRO
1970;1971;43;Best Actor;Male;George C. Scott;White;Patton;VERDADEIRO
1970;1971;43;Best Actor in supporting role;Male;John Mills;White;Ryan's Daughter;VERDADEIRO
1970;1971;43;Best Actress;Female;Glenda Jackson;White;Women in Love;VERDADEIRO
1970;1971;43;ACTRESS IN A SUPPORTING ROLE;Female;Helen Hayes;White;Airport;VERDADEIRO
1971;1972;44;Best Actor;Male;Gene Hackman;White;The French Connection;VERDADEIRO
1971;1972;44;Best Actor in supporting role;Male;Ben Johnson;White;The Last Picture Show;VERDADEIRO
1971;1972;44;Best Actress;Female;Jane Fonda;White;Klute;VERDADEIRO
1971;1972;44;ACTRESS IN A SUPPORTING ROLE;Female;Cloris Leachman;White;The Last Picture Show;VERDADEIRO
1972;1973;45;Best Actor;Male;Marlon Brando;White;The Godfather;VERDADEIRO
1972;1973;45;Best Actor in supporting role;Male;Joel Grey;White;Cabaret;VERDADEIRO
1972;1973;45;Best Actress;Female;Liza Minnelli;White;Cabaret;VERDADEIRO
1972;1973;45;ACTRESS IN A SUPPORTING ROLE;Female;Eileen Heckart;White;Butterflies Are Free;VERDADEIRO
1973;1974;46;Best Actor;Male;Jack Lemmon;White;Save the Tiger;VERDADEIRO
1973;1974;46;Best Actor in supporting role;Male;John Houseman;White;The Paper Chase;VERDADEIRO
1973;1974;46;Best Actress;Female;Glenda Jackson;White;A Touch of Class;VERDADEIRO
1973;1974;46;ACTRESS IN A SUPPORTING ROLE;Female;Tatum O'Neal;White;Paper Moon;VERDADEIRO
1974;1975;47;Best Actor;Male;Art Carney;White;Harry and Tonto;VERDADEIRO
1974;1975;47;Best Actor in supporting role;Male;Robert De Niro;White;The Godfather Part II;VERDADEIRO
1974;1975;47;Best Actress;Female;Ellen Burstyn;White;Alice Doesn't Live Here Anymore;VERDADEIRO
1974;1975;47;ACTRESS IN A SUPPORTING ROLE;Female;Ingrid Bergman;White;Murder on the Orient Express;VERDADEIRO
1975;1976;48;Best Actor;Male;Jack Nicholson;White;One Flew over the Cuckoo's Nest;VERDADEIRO
1975;1976;48;Best Actor in supporting role;Male;George Burns;White;The Sunshine Boys;VERDADEIRO
1975;1976;48;Best Actress;Female;Louise Fletcher;White;One Flew over the Cuckoo's Nest;VERDADEIRO
1975;1976;48;ACTRESS IN A SUPPORTING ROLE;Female;Lee Grant;White;Shampoo;VERDADEIRO
1976;1977;49;Best Actor;Male;Peter Finch;White;Network;VERDADEIRO
1976;1977;49;Best Actor in supporting role;Male;Jason Robards;White;All the President's Men;VERDADEIRO
1976;1977;49;Best Actress;Female;Faye Dunaway;White;Network;VERDADEIRO
1976;1977;49;ACTRESS IN A SUPPORTING ROLE;Female;Beatrice Straight;White;Network;VERDADEIRO
1977;1978;50;Best Actor;Male;Richard Dreyfuss;White;The Goodbye Girl;VERDADEIRO
1977;1978;50;Best Actor in supporting role;Male;Jason Robards;White;Julia;VERDADEIRO
1977;1978;50;Best Actress;Female;Diane Keaton;White;Annie Hall;VERDADEIRO
1977;1978;50;ACTRESS IN A SUPPORTING ROLE;Female;Vanessa Redgrave;White;Julia;VERDADEIRO
1978;1979;51;Best Actor;Male;Jon Voight;White;Coming Home;VERDADEIRO
1978;1979;51;Best Actor in supporting role;Male;Christopher Walken;White;The Deer Hunter;VERDADEIRO
1978;1979;51;Best Actress;Female;Jane Fonda;White;Coming Home;VERDADEIRO
1978;1979;51;ACTRESS IN A SUPPORTING ROLE;Female;Maggie Smith;White;California Suite;VERDADEIRO
1979;1980;52;Best Actor;Male;Dustin Hoffman;White;Kramer vs. Kramer;VERDADEIRO
1979;1980;52;Best Actor in supporting role;Male;Melvyn Douglas;White;Being There;VERDADEIRO
1979;1980;52;Best Actress;Female;Sally Field;White;Norma Rae;VERDADEIRO
1979;1980;52;ACTRESS IN A SUPPORTING ROLE;Female;Meryl Streep;White;Kramer vs. Kramer;VERDADEIRO
1980;1981;53;Best Actor;Male;Robert De Niro;White;Raging Bull;VERDADEIRO
1980;1981;53;Best Actor in supporting role;Male;Timothy Hutton;White;Ordinary People;VERDADEIRO
1980;1981;53;Best Actress;Female;Sissy Spacek;White;Coal Miner's Daughter;VERDADEIRO
1980;1981;53;ACTRESS IN A SUPPORTING ROLE;Female;Mary Steenburgen;White;Melvin and Howard;VERDADEIRO
1981;1982;54;Best Actor;Male;Henry Fonda;White;On Golden Pond;VERDADEIRO
1981;1982;54;Best Actor in supporting role;Male;John Gielgud;White;Arthur;VERDADEIRO
1981;1982;54;Best Actress;Female;Katharine Hepburn;White;On Golden Pond;VERDADEIRO
1981;1982;54;ACTRESS IN A SUPPORTING ROLE;Female;Maureen Stapleton;White;Reds;VERDADEIRO
1982;1983;55;Best Actor;Male;Ben Kingsley;Asian;Gandhi;VERDADEIRO
1982;1983;55;Best Actor in supporting role;Male;Louis Gossett, Jr.;Black;An Officer and a Gentleman;VERDADEIRO
1982;1983;55;Best Actress;Female;Meryl Streep;White;Sophie's Choice;VERDADEIRO
1982;1983;55;ACTRESS IN A SUPPORTING ROLE;Female;Jessica Lange;White;Tootsie;VERDADEIRO
1983;1984;56;Best Actor;Male;Robert Duvall;White;Tender Mercies;VERDADEIRO
1983;1984;56;Best Actor in supporting role;Male;Jack Nicholson;White;Terms of Endearment;VERDADEIRO
1983;1984;56;Best Actress;Female;Shirley MacLaine;White;Terms of Endearment;VERDADEIRO
1983;1984;56;ACTRESS IN A SUPPORTING ROLE;Female;Linda Hunt;White;The Year of Living Dangerously;VERDADEIRO
1984;1985;57;Best Actor;Male;F. Murray Abraham;Asian;Amadeus;VERDADEIRO
1984;1985;57;Best Actor in supporting role;Male;Haing S. Ngor;Asian;The Killing Fields;VERDADEIRO
1984;1985;57;Best Actress;Female;Sally Field;White;Places in the Heart;VERDADEIRO
1984;1985;57;ACTRESS IN A SUPPORTING ROLE;Female;Peggy Ashcroft;White;A Passage to India;VERDADEIRO
1985;1986;58;Best Actor;Male;William Hurt;White;Kiss of the Spider Woman;VERDADEIRO
1985;1986;58;Best Actor in supporting role;Male;Don Ameche;White;Cocoon;VERDADEIRO
1985;1986;58;Best Actress;Female;Geraldine Page;White;The Trip to Bountiful;VERDADEIRO
1985;1986;58;ACTRESS IN A SUPPORTING ROLE;Female;Anjelica Huston;White;Prizzi's Honor;VERDADEIRO
1986;1987;59;Best Actor;Male;Paul Newman;White;The Color of Money;VERDADEIRO
1986;1987;59;Best Actor in supporting role;Male;Michael Caine;White;Hannah and Her Sisters;VERDADEIRO
1986;1987;59;Best Actress;Female;Marlee Matlin;White;Children of a Lesser God;VERDADEIRO
1986;1987;59;ACTRESS IN A SUPPORTING ROLE;Female;Dianne Wiest;White;Hannah and Her Sisters;VERDADEIRO
1987;1988;60;Best Actor;Male;Michael Douglas;White;Wall Street;VERDADEIRO
1987;1988;60;Best Actor in supporting role;Male;Sean Connery;White;The Untouchables;VERDADEIRO
1987;1988;60;Best Actress;Female;Cher;White;Moonstruck;VERDADEIRO
1987;1988;60;ACTRESS IN A SUPPORTING ROLE;Female;Olympia Dukakis;White;Moonstruck;VERDADEIRO
1988;1989;61;Best Actor;Male;Dustin Hoffman;White;Rain Man;VERDADEIRO
1988;1989;61;Best Actor in supporting role;Male;Kevin Kline;White;A Fish Called Wanda;VERDADEIRO
1988;1989;61;Best Actress;Female;Jodie Foster;White;The Accused;VERDADEIRO
1988;1989;61;ACTRESS IN A SUPPORTING ROLE;Female;Geena Davis;White;The Accidental Tourist;VERDADEIRO
1989;1990;62;Best Actor;Male;Daniel Day Lewis;White;My Left Foot;VERDADEIRO
1989;1990;62;Best Actor in supporting role;Male;Denzel Washington;Black;Glory;VERDADEIRO
1989;1990;62;Best Actress;Female;Jessica Tandy;White;Driving Miss Daisy;VERDADEIRO
1989;1990;62;ACTRESS IN A SUPPORTING ROLE;Female;Brenda Fricker;White;My Left Foot;VERDADEIRO
1990;1991;63;Best Actor;Male;Jeremy Irons;White;Reversal of Fortune;VERDADEIRO
1990;1991;63;Best Actor in supporting role;Male;Joe Pesci;White;Good Fellas;VERDADEIRO
1990;1991;63;Best Actress;Female;Kathy Bates;White;Misery;VERDADEIRO
1990;1991;63;ACTRESS IN A SUPPORTING ROLE;Female;Whoopi Goldberg;Black;Ghost;VERDADEIRO
1991;1992;64;Best Actor;Male;Anthony Hopkins;White;The Silence of the Lambs;VERDADEIRO
1991;1992;64;Best Actor in supporting role;Male;Jack Palance;White;City Slickers;VERDADEIRO
1991;1992;64;Best Actress;Female;Jodie Foster;White;The Silence of the Lambs;VERDADEIRO
1991;1992;64;ACTRESS IN A SUPPORTING ROLE;Female;Mercedes Ruehl;Hispanic;The Fisher King;VERDADEIRO
1992;1993;65;Best Actor;Male;Al Pacino;White;Scent of a Woman;VERDADEIRO
1992;1993;65;Best Actor in supporting role;Male;Gene Hackman;White;Unforgiven;VERDADEIRO
1992;1993;65;Best Actress;Female;Emma Thompson;White;Howards End;VERDADEIRO
1992;1993;65;ACTRESS IN A SUPPORTING ROLE;Female;Marisa Tomei;White;My Cousin Vinny;VERDADEIRO
1993;1994;66;Best Actor;Male;Tom Hanks;White;Philadelphia;VERDADEIRO
1993;1994;66;Best Actor in supporting role;Male;Tommy Lee Jones;White;The Fugitive;VERDADEIRO
1993;1994;66;Best Actress;Female;Holly Hunter;White;The Piano;VERDADEIRO
1993;1994;66;ACTRESS IN A SUPPORTING ROLE;Female;Anna Paquin;White;The Piano;VERDADEIRO
1994;1995;67;Best Actor;Male;Tom Hanks;White;Forrest Gump;VERDADEIRO
1994;1995;67;Best Actor in supporting role;Male;Martin Landau;White;Ed Wood;VERDADEIRO
1994;1995;67;Best Actress;Female;Jessica Lange;White;Blue Sky;VERDADEIRO
1994;1995;67;ACTRESS IN A SUPPORTING ROLE;Female;Dianne Wiest;White;Bullets over Broadway;VERDADEIRO
1995;1996;68;Best Actor;Male;Nicolas Cage;White;Leaving Las Vegas;VERDADEIRO
1995;1996;68;Best Actor in supporting role;Male;Kevin Spacey;White;The Usual Suspects;VERDADEIRO
1995;1996;68;Best Actress;Female;Susan Sarandon;White;Dead Man Walking;VERDADEIRO
1995;1996;68;ACTRESS IN A SUPPORTING ROLE;Female;Mira Sorvino;White;Mighty Aphrodite;VERDADEIRO
1996;1997;69;Best Actor;Male;Geoffrey Rush;White;Shine;VERDADEIRO
1996;1997;69;Best Actor in supporting role;Male;Cuba Gooding Jr.;Black;Jerry Maguire;VERDADEIRO
1996;1997;69;Best Actress;Female;Frances McDormand;White;Fargo;VERDADEIRO
1996;1997;69;ACTRESS IN A SUPPORTING ROLE;Female;Juliette Binoche;White;The English Patient;VERDADEIRO
1997;1998;70;Best Actor;Male;Jack Nicholson;White;As Good as It Gets;VERDADEIRO
1997;1998;70;Best Actor in supporting role;Male;Robin Williams;White;Good Will Hunting;VERDADEIRO
1997;1998;70;Best Actress;Female;Helen Hunt;White;As Good as It Gets;VERDADEIRO
1997;1998;70;ACTRESS IN A SUPPORTING ROLE;Female;Kim Basinger;White;L.A. Confidential;VERDADEIRO
1998;1999;71;Best Actor;Male;Roberto Benigni;White;Life Is Beautiful;VERDADEIRO
1998;1999;71;Best Actor in supporting role;Male;James Coburn;White;Affliction;VERDADEIRO
1998;1999;71;Best Actress;Female;Gwyneth Paltrow;White;Shakespeare in Love;VERDADEIRO
1998;1999;71;ACTRESS IN A SUPPORTING ROLE;Female;Judi Dench;White;Shakespeare in Love;VERDADEIRO
1999;2000;72;Best Actor;Male;Kevin Spacey;White;American Beauty;VERDADEIRO
1999;2000;72;Best Actor in supporting role;Male;Michael Caine;White;The Cider House Rules;VERDADEIRO
1999;2000;72;Best Actress;Female;Hilary Swank;Hispanic;Boys Don't Cry;VERDADEIRO
1999;2000;72;ACTRESS IN A SUPPORTING ROLE;Female;Angelina Jolie;White;Girl, Interrupted;VERDADEIRO
2000;2001;73;Best Actor;Male;Russell Crowe;White;Gladiator;VERDADEIRO
2000;2001;73;Best Actor in supporting role;Male;Benicio Del Toro;White;Traffic;VERDADEIRO
2000;2001;73;Best Actress;Female;Julia Roberts;White;Erin Brockovich;VERDADEIRO
2000;2001;73;ACTRESS IN A SUPPORTING ROLE;Female;Marcia Gay Harden;White;Pollock;VERDADEIRO
2001;2002;74;Best Actor;Male;Denzel Washington;Black;Training Day;VERDADEIRO
2001;2002;74;Best Actor in supporting role;Male;Jim Broadbent;White;Iris;VERDADEIRO
2001;2002;74;Best Actress;Female;Halle Berry;Black;Monster's Ball;VERDADEIRO
2001;2002;74;ACTRESS IN A SUPPORTING ROLE;Female;Jennifer Connelly;White;A Beautiful Mind;VERDADEIRO
